- * MCU: TEENSY 4.1
- * JANET ID : 3
- * Sensing Started Time : 06:30:35 30/10/2022
- * Voltage Level : 0.0000 V

Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1842.287	-1832.580	-2789.745	833.649	-2420.302	-387.122
1	-1841.961	-1832.721	-2789.165	833.823	-2420.646	-386.854
2	-1841.842	-1832.176	-2789.212	833.721	-2420.226	-386.608
3	-1842.175	-1831.497	-2789.858	833.635	-2419.357	-386.573
4	-1842.705	-1831.283	-2790.797	833.909	-2418.829	-386.647
5	-1843.042	-1831.579	-2791.520	834.327	-2419.120	-386.640
6	-1843.073	-1831.963	-2791.667	834.430	-2419.842	-386.506
7	-1842.908	-1831.997	-2791.194	834.145	-2420.327	-386.504
8	-1842.641	-1831.677	-2790.422	833.839	-2420.524	-386.792
9	-1842.269	-1831.383	-2789.813	833.904	-2420.747	-387.165
10	-1841.923	-1831.431	-2789.561	834.441	-2420.840	-387.170
11	-1841.880	-1831.776	-2789.604	834.988	-2420.724	-386.541
12	-1842.241	-1832.097	-2789.921	834.976	-2420.729	-385.723
13	-1842.789	-1832.059	-2790.298	834.556	-2420.845	-385.493
14	-1843.173	-1831.624	-2790.421	834.210	-2420.810	-385.878
15	-1843.238	-1831.230	-2790.317	834.216	-2420.494	-386.152
16	-1843.056	-1831.333	-2790.166	834.561	-2419.876	-385.889
17	-1842.771	-1831.810	-2789.982	834.912	-2419.309	-385.430
18	-1842.494	-1832.169	-2789.748	834.947	-2419.080	-385.343
19	-1842.200	-1832.124	-2789.650	834.638	-2419.065	-385.902
20	-1842.027	-1831.732	-2789.795	834.229	-2418.999	-386.905
21	-1842.266	-1831.432	-2790.152	833.866	-2418.798	-387.729
22	-1842.877	-1831.611	-2790.705	833.502	-2418.642	-387.933
23	-1843.386	-1832.003	-2791.221	833.103	-2418.756	-387.618
24	-1843.412	-1832.010	-2791.399	832.930	-2419.028	-387.256
25	-1843.021	-1831.595	-2791.200	833.138	-2419.148	-387.205
26	-1842.550	-1831.366	-2790.782	833.572	-2419.047	-387.355
27	-1842.226	-1831.680	-2790.274	834.009	-2418.855	-387.637
28	-1842.081	-1832.214	-2789.710	834.281	-2418.912	-388.031
29	-1842.124	-1832.429	-2789.240	834.333	-2419.218	-388.070
30	-1842.323	-1832.117	-2789.009	834.044	-2419.341	-387.587
31	-1842.640	-1831.587	-2789.192	833.504	-2419.343	-387.115
32	-1842.978	-1831.351	-2789.818	833.424	-2419.557	-386.983
33	-1843.182	-1831.564	-2790.503	834.181	-2419.853	-386.942
34	-1843.104	-1831.967	-2790.869	835.066	-2420.136	-386.665
35	-1842.720	-1832.205	-2790.771	835.337	-2420.712	-386.107
36	-1842.255	-1832.103	-2790.217	835.205	-2421.536	-385.629
37	-1841.933	-1831.779	-2789.564	835.119	-2421.902	-385.724
38	-1841.833	-1831.482	-2789.268	834.968	-2421.279	-386.353
39	-1842.013	-1831.449	-2789.631	834.616	-2420.159	-386.854
40	-1842.471	-1831.768	-2790.513	834.371	-2419.643	-386.795
41	-1843.066	-1832.119	-2791.424	834.469	-2420.135	-386.621
42	-1843.470	-1832.086	-2791.916	834.708	-2421.105	-386.916
43	-1843.431	-1831.769	-2791.852	834.942	-2421.679	-387.538
44	-1842.976	-1831.685	-2791.347	835.175	-2421.458	-388.041
45	-1842.347	-1831.997	-2790.499	835.331	-2421.030	-388.243
