- * MCU: TEENSY 4.1
- * JANET ID : 3
- * Sensing Started Time : 06:30:35 30/10/2022
- * Voltage Level : 0.0000 V

Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1842.579	-1832.722	-2793.395	837.608	-2420.201	-388.125
1	-1843.342	-1835.334	-2794.544	838.822	-2420.708	-388.529
2	-1843.998	-1836.257	-2794.051	838.672	-2420.299	-389.124
3	-1843.465	-1835.215	-2790.956	837.441	-2419.355	-389.344
4	-1842.553	-1832.980	-2787.699	836.412	-2418.414	-388.886
5	-1842.752	-1830.900	-2787.445	836.318	-2417.638	-387.882
6	-1843.923	-1829.856	-2789.895	836.605	-2417.042	-386.889
7	-1844.642	-1829.969	-2791.984	836.521	-2416.699	-386.458
8	-1844.247	-1831.123	-2791.734	836.237	-2416.542	-386.656
9	-1843.193	-1832.783	-2789.832	836.283	-2416.354	-387.063
10	-1842.089	-1833.923	-2788.046	836.752	-2415.930	-387.454
11	-1841.338	-1834.036	-2786.935	837.484	-2415.289	-387.951
12	-1840.913	-1833.339	-2786.031	838.174	-2414.837	-388.227
13	-1840.707	-1832.139	-2785.422	838.572	-2414.996	-387.826
14	-1841.249	-1831.019	-2786.192	838.710	-2415.557	-387.018
15	-1842.804	-1830.804	-2788.831	838.602	-2415.806	-386.505
16	-1844.264	-1831.633	-2791.711	838.232	-2415.567	-386.692
17	-1844.355	-1832.791	-2792.535	837.973	-2415.361	-387.416
18	-1843.064	-1833.378	-2790.793	838.064	-2415.567	-388.312
19	-1841.539	-1832.953	-2788.030	838.046	-2416.050	-389.086
20	-1840.818	-1831.977	-2786.096	837.577	-2416.332	-389.384
21	-1840.963	-1831.465	-2785.961	837.054	-2416.363	-389.105
22	-1841.533	-1831.771	-2787.822	837.027	-2416.605	-388.555
23	-1842.599	-1832.326	-2790.827	837.473	-2417.106	-388.068
24	-1844.228	-1832.670	-2793.198	837.843	-2417.389	-387.902
25	-1845.627	-1832.755	-2793.823	837.652	-2417.478	-388.115
26	-1845.672	-1832.507	-2793.092	837.018	-2417.875	-388.355
27	-1844.085	-1831.975	-2792.032	836.544	-2418.330	-388.314
28	-1842.047	-1831.373	-2791.244	836.422	-2418.271	-388.090
29	-1841.157	-1830.802	-2791.154	836.320	-2417.969	-387.925
30	-1841.802	-1830.453	-2792.306	836.152	-2418.056	-387.912
31	-1842.821	-1830.903	-2794.514	836.144	-2418.609	-387.868
32	-1843.277	-1832.400	-2796.767	836.395	-2419.150	-387.663
33	-1843.738	-1834.074	-2797.927	836.754	-2419.213	-387.601
34	-1844.421	-1834.724	-2797.385	837.083	-2418.887	-387.966
35	-1844.202	-1834.001	-2795.671	837.365	-2418.704	-388.416
36	-1842.460	-1832.423	-2793.811	837.533	-2418.823	-388.393
37	-1840.335	-1830.830	-2792.315	837.772	-2418.752	-388.153
38	-1839.703	-1830.181	-2791.226	838.421	-2418.099	-388.320
39	-1841.003	-1831.099	-2790.402	839.185	-2417.307	-388.857
40	-1842.590	-1832.873	-2789.882	839.763	-2417.218	-389.256
41	-1842.923	-1833.994	-2789.497	840.513	-2417.862	-389.151
42	-1842.573	-1834.032	-2788.676	841.463	-2418.350	-388.652
43	-1842.508	-1833.511	-2787.001	841.872	-2418.049	-388.138
44	-1842.560	-1832.605	-2785.173	841.295	-2417.284	-387.874
45	-1842.439	-1831.393	-2784.519	840.305	-2416.752	-387.934
46	-1842.551	-1830.374	-2785.380	839.814	-2416.623	-388.181
47	-1843.366	-1829.989	-2786.874	840.062	-2416.809	-388.373
48	-1844.454	-1830.400	-2787.891	840.667	-2417.312	-388.476
49	-1844.844	-1831.494	-2787.900	841.156	-2417.775	-388.570
50	-1844.201	-1832.821	-2787.492	841.058	-2417.749	-388.602
51	-1843.187	-1833.574	-2787.465	840.286	-2417.224	-388.393
52	-1842.480	-1833.054	-2787.856	839.337	-2416.649	-387.979
53	-1842.098	-1831.619	-2788.115	838.703	-2416.535	-387.849
54	-1842.176	-1830.526	-2788.478	838.349	-2417.125	-388.210
55	-1842.942	-1830.473	-2790.214	838.032	-2418.167	-388.306
56	-1843.812	-1831.154	-2793.199	837.642	-2418.876	-387.471
57	-1843.891	-1832.182	-2795.212	837.284	-2418.698	-386.325
58	-1843.035	-1833.150	-2794.662	837.141	-2418.257	-385.844
59	-1841.497	-1833.450	-2792.222	837.045	-2418.455	-386.189
60	-1839.782	-1832.966	-2789.712	836.813	-2419.169	-387.044
61	-1839.034	-1832.309	-2788.578	836.700	-2419.782	-388.148
62	-1839.979	-1831.991	-2789.412	837.069	-2420.176	-388.991
63	-1842.000	-1832.050	-2791.668	837.753	-2420.393	-388.901
64	-1843.947	-1832.421	-2793.877	838.062	-2420.302	-388.023
65	-1845.034	-1832.801	-2794.903	837.932	-2419.992	-387.380
66	-1844.992	-1832.735	-2794.645	838.114	-2419.695	-387.462
67	-1843.968	-1832.275	-2793.438	838.715	-2419.423	-387.708
68	-1842.316	-1831.847	-2791.473	839.175	-2419.044	-387.590
69	-1840.875	-1831.593	-2789.412	839.337	-2418.777	-387.383
70	-1840.961	-1831.472	-2788.878	839.545	-2418.995	-387.583
71	-1842.775	-1831.667	-2790.919	840.145	-2419.393	-388.090
72	-1844.991	-1832.197	-2794.462	840.900	-2419.458	-388.299
73	-1846.470	-1832.638	-2797.388	841.188	-2419.509	-387.971
74	-1846.740	-1832.633	-2798.108	840.894	-2419.986	-387.526
75	-1845.470	-1832.257	-2796.294	840.495	-2420.501	-387.307
76	-1843.044	-1831.742	-2792.810	840.384	-2420.312	-387.256
77	-1840.616	-1831.164	-2789.102	840.407	-2419.064	-387.256
78	-1839.023	-1830.715	-2786.494	840.469	-2417.420	-387.471
79	-1838.776	-1830.967	-2785.428	840.879	-2416.633	-387.954
80	-1840.065	-1832.075	-2785.599	841.604	-2417.070	-388.400
81	-1842.228	-1833.197	-2786.680	842.218	-2418.069	-388.603
82	-1844.126	-1833.446	-2787.764	842.379	-2418.835	-388.584
83	-1844.741	-1832.775	-2787.485	841.943	-2418.928	-388.171
84	-1843.726	-1831.766	-2785.387	840.896	-2418.518	-387.044
85	-1841.717	-1831.059	-2782.513	839.501	-2418.118	-385.698
86	-1839.917	-1830.970	-2780.365	838.422	-2417.809	-385.132
87	-1839.136	-1831.327	-2779.968	837.887	-2417.439	-385.560
88	-1839.760	-1831.725	-2781.774	837.635	-2417.101	-386.364
89	-1842.000	-1831.973	-2785.375	837.615	-2417.127	-387.184
90	-1845.019	-1832.146	-2789.654	837.933	-2417.594	-388.140
91	-1847.015	-1832.280	-2793.548	838.569	-2418.272	-389.050
92	-1847.129	-1832.184	-2796.276	839.135	-2418.982	-389.308
93	-1846.036	-1831.694	-2797.148	839.174	-2419.760	-388.852
94	-1844.464	-1831.062	-2796.055	838.821	-2420.580	-388.357
95	-1842.610	-1830.787	-2794.241	838.507	-2421.180	-388.248
96	-1840.848	-1830.980	-2793.699	838.591	-2421.320	-388.338
97	-1840.168	-1831.386	-2795.239	839.156	-2421.138	-388.462
98	-1841.298	-1831.825	-2797.544	839.666	-2421.003	-388.659
99	-1843.469	-1832.173	-2798.855	839.689	-2420.991	-388.778
100	-1844.937	-1832.337	-2798.767	839.558	-2421.005	-388.772
101	-1844.710	-1832.395	-2797.711	839.751	-2420.920	-388.818
102	-1843.152	-1832.474	-2795.781	840.216	-2420.640	-388.902
103	-1841.078	-1832.582	-2792.722	840.619	-2420.210	-388.896
104	-1839.097	-1832.583	-2788.848	840.681	-2419.735	-388.838
105	-1837.956	-1832.332	-2785.340	840.550	-2419.329	-388.654
106	-1838.271	-1831.845	-2783.566	840.522	-2418.903	-388.292
107	-1840.061	-1831.335	-2783.851	840.441	-2418.275	-387.920
108	-1842.791	-1831.157	-2785.290	840.115	-2417.631	-387.704
109	-1845.331	-1831.509	-2786.534	839.954	-2417.190	-387.629
110	-1846.393	-1832.177	-2786.809	840.182	-2416.740	-387.587
111	-1845.730	-1832.610	-2786.204	840.164	-2416.024	-387.367
112	-1844.215	-1832.433	-2785.378	839.462	-2415.443	-386.860
113	-1842.623	-1831.731	-2784.816	838.741	-2415.662	-386.365
114	-1841.229	-1830.997	-2784.894	838.827	-2416.771	-386.135
115	-1840.616	-1830.740	-2786.230	839.469	-2418.201	-385.954
116	-1841.617	-1830.996	-2788.927	839.734	-2419.241	-385.725
117	-1844.118	-1831.392	-2792.051	839.343	-2419.713	-385.782
118	-1846.524	-1831.745	-2794.666	839.016	-2419.829	-386.152
119	-1847.106	-1832.146	-2796.279	839.394	-2419.649	-386.474
120	-1845.639	-1832.536	-2796.347	840.229	-2419.365	-386.630
121	-1843.293	-1832.624	-2794.465	840.838	-2419.341	-386.730
122	-1841.077	-1832.319	-2791.495	840.975	-2419.488	-386.671
123	-1839.285	-1831.862	-2789.140	840.897	-2419.450	-386.376
124	-1838.447	-1831.563	-2788.158	840.772	-2418.930	-386.095
125	-1839.225	-1831.559	-2788.190	840.669	-2418.161	-386.155
126	-1841.317	-1831.802	-2789.081	840.750	-2417.919	-386.727
127	-1843.479	-1832.087	-2790.640	841.129	-2418.430	-387.625
128	-1844.584	-1832.128	-2791.840	841.608	-2418.998	-388.266
129	-1844.265	-1831.843	-2791.433	841.842	-2419.118	-388.353
130	-1842.827	-1831.491	-2789.419	841.812	-2418.862	-388.253
131	-1840.869	-1831.411	-2787.213	841.502	-2418.452	-388.414
132	-1839.344	-1831.644	-2786.401	840.710	-2418.341	-388.571
133	-1839.287	-1831.877	-2787.412	839.674	-2419.042	-388.409
134	-1840.863	-1831.816	-2789.535	839.090	-2420.288	-388.189
135	-1843.217	-1831.500	-2792.034	839.249	-2421.073	-388.127
136	-1845.412	-1831.151	-2794.392	839.750	-2420.758	-388.062
137	-1846.777	-1830.953	-2795.991	840.070	-2419.673	-387.992
138	-1846.667	-1831.093	-2796.012	839.892	-2418.797	-388.059
139	-1844.652	-1831.544	-2794.179	839.344	-2418.839	-388.057
140	-1841.606	-1831.932	-2791.262	838.960	-2419.361	-387.952
141	-1839.649	-1832.077	-2788.691	839.006	-2419.481	-388.088
142	-1839.970	-1832.092	-2787.593	839.281	-2419.226	-388.383
143	-1841.509	-1832.013	-2788.317	839.308	-2419.294	-388.477
144	-1842.890	-1831.814	-2790.124	838.787	-2419.836	-388.311
145	-1844.203	-1831.617	-2791.487	838.096	-2420.051	-387.933
146	-1845.533	-1831.529	-2791.245	837.820	-2419.511	-387.393
147	-1845.637	-1831.582	-2789.422	838.061	-2418.906	-386.836
148	-1843.611	-1831.860	-2786.617	838.442	-2418.898	-386.318
149	-1840.523	-1832.310	-2783.688	838.486	-2419.543	-385.794
150	-1838.567	-1832.669	-2782.096	838.122	-2420.309	-385.557
151	-1838.729	-1832.667	-2782.952	837.897	-2420.615	-385.781
152	-1840.227	-1832.307	-2785.763	838.120	-2420.669	-386.160
153	-1842.156	-1831.794	-2789.109	838.267	-2420.843	-386.739
154	-1844.061	-1831.369	-2791.890	838.080	-2421.055	-387.564
155	-1845.309	-1831.255	-2793.535	837.959	-2421.219	-388.172
156	-1845.213	-1831.436	-2793.552	838.217	-2421.271	-388.397
157	-1843.645	-1831.666	-2791.987	838.682	-2421.230	-388.727
158	-1841.281	-1831.812	-2790.017	838.979	-2421.464	-389.237
159	-1839.558	-1831.884	-2789.320	838.941	-2421.979	-389.490
